CompanyName,MatchingName,SimilarityScore
CONSTELLATION SOFTWARE,CONSTELLATION SOFTWARE INC.,0.8979591836734694
CONTINENTAL,CONTINENTAL AG,0.88
COOPER COMPANIES (THE),COOPER COMPANIES INC,0.8095238095238095
COPART,"COPART, INC.",0.6666666666666666
CORNING,CANON INC,0.625
CORTEVA,"CORTEVA, INC.",0.7
COSTAR GROUP,COSTAR GROUP INC,0.8571428571428571
COSTCO WHOLESALE CORP,COSTCO WHOLESALE CORPORATION,0.8571428571428571
COTERRA ENERGY,COAL ENERGY SA,0.7142857142857143
COVESTRO,COVESTRO AG,0.8421052631578947
COVIVIO,COVIVIO SA,0.8235294117647058
CP RAILWAY,CANGGANG RAILWAY LIMITED,0.5294117647058824
CREDIT AGRICOLE,CREDIT AGRICOLE SA,0.9090909090909091
CREDIT SUISSE,CREDIT SUISSE GROUP AG,0.7428571428571429
CRH,CRH PLC,0.6
CRODA INTERNATIONAL,CRODA INTERNATIONAL PLC,0.9047619047619048
CROWDSTRIKE HLDGS A,"CROWDSTRIKE HOLDINGS, INC.",0.8
CROWN CASTLE,CROWN CASTLE IN/SH SH,0.7272727272727273
CROWN HOLDINGS,"CROWN HOLDINGS, INC.",0.8235294117647058
CSL,CEPS PLC,0.5454545454545454
CSX CORP,CJ CORP,0.8
CUMMINS,CUMMINS INC.,0.7368421052631579
CVS HEALTH,CVS HEALTH CORP,0.8
CYBER AGENT,"CYBERAGENT,INC.",0.7692307692307693
CYBERARK SOFTWARE (USD),CYBERARK SOFTWARE LTD,0.8636363636363636
DAI ICHI LIFE HOLDINGS,DAI-ICHI LIFE HOLDINGS INC,0.875
DAI NIPPON PRINTING CO,"DAI NIPPON PRINTING CO.,LTD.",0.88
DAIFUKU CO,"DAIFUKU CO.,LTD.",0.7692307692307693
DAIICHI SANKYO CO,"DAIICHI SANKYO COMPANY,LIMITED",0.723404255319149
DAIKIN INDUSTRIES,"DAIKIN INDUSTRIES,LTD.",0.8717948717948718
DAIMLER TRUCK HOLDING,DOGAN SIRKETLER GRUBU HOLDING AS,0.6415094339622641
DAITO TRUST CONSTRUCTION,DAITO TRUST CONSTRUCTION CO LTD,0.8727272727272727
DAIWA HOUSE INDUSTRY,DAIWA HOUSE INDUSTRY CO LTD,0.851063829787234
DAIWA HOUSE REIT INV CO,DAIWA HOUSE REIT INVESTMENT CORPORATION,0.7419354838709677
DAIWA SECURITIES GROUP,DAIWA SECURITIES GROUP INC,0.9166666666666666
DANAHER CORP,DANAHER CORPORATION,0.7741935483870968
DANONE,DANONE SA,0.8
DANSKE BANK,DANSKE BANK A/S,0.8461538461538461
DARDEN RESTAURANTS,"DARDEN RESTAURANTS, INC.",0.8571428571428571
DARLING INGREDIENTS,DARLING INGREDIENTS INC,0.9047619047619048
DASSAULT AVIATION,DASSAULT AVIATION SA,0.918918918918919
DASSAULT SYSTEMES,DASSAULT SYSTEMES SE,0.918918918918919
DATADOG A,"DATADOG, INC.",0.7272727272727273
DAVIDE CAMPARI-MILANO,DAVIDE CAMPARI-MILANO SPA,0.9130434782608695
DAVITA HEALTHCARE PARTNR,DALLAH HEALTHCARE COMPANY SJSC,0.6666666666666666
DBS GROUP HOLDINGS,DBS GROUP HOLDINGS LTD,0.9
DCC (GB),DCC PLC,0.5333333333333333
DEERE & CO,DEERE & COMPANY,0.8
DELIVERY HERO,DELIVERY HERO SE,0.896551724137931
DELL TECHNOLOGIES C,DELL TECHNOLOGIES INC.,0.926829268292683
DELTA AIR LINES,"DELTA AIR LINES, INC.",0.8333333333333334
DEMANT,DEMANT A/S,0.75
DENSO CORP,DENSO CORP,1.0
DENTSPLY SIRONA,DENTSPLY SIRONA INC,0.8823529411764706
DENTSU GROUP,D2L GROUP,0.6666666666666666
DESCARTES SYSTEMS GROUP,DESCARTES SYSTEMS GROUP INC,0.92
DEUTSCHE BANK,DEUTSCHE BANK AG,0.896551724137931
DEUTSCHE BOERSE,DEUTSCHE BOERSE,1.0
DEUTSCHE POST,DEUTSCHE POST,1.0
DEUTSCHE TELEKOM,DEUTSCHE TELEKOM AG,0.9142857142857143
DEVON ENERGY CORP,DEVON ENERGY CORP,1.0
DEXCOM,"DEXCOM, INC.",0.6666666666666666
DEXUS,DEXUS,1.0
DIAGEO,DIAGEO PLC,0.75
DIAMONDBACK ENERGY,DIAMONDBACK ENERGY INC,0.9
